情绪类别,情绪序号,情绪词,内容描述,生成有效,BS有效,备注,BS效果明显
细分情绪,31,awestruck,小女孩睁大双眼，嘴巴微微张开，脸上带着惊奇与敬畏的表情，身体微微前倾,是,是,看不出来勇敢,
细分情绪,32,awful,小女孩的脸上写满难受与厌恶，嘴角下撇，眉头紧皱，双眼流露出抗拒与不适的情绪。,是,是,,
细分情绪,33,bashful,一个小女孩微微低下头，脸颊泛红，双手捏着衣角，眼睛害羞地看向一边，嘴角抿着，显得有些局促和娇羞。,是,是,,
细分情绪,34,belonging,小女孩微笑地环抱自己的身体，脸上满是安心的神情，眼神柔和地四处张望,是 ,是 ,,
细分情绪,35,betrayed,一个小女孩低垂着头，眼中含泪，眉头紧锁，神情中满是受伤和失望，嘴唇紧闭，泫然欲泣,是,是,,
细分情绪,36,bewildered,一个小女孩一脸迷茫，皱起眉头，微微张口，眼神四处游移，像是不明白发生了什么，神情十分困惑。,是,是,,
细分情绪,37,bitter,小女孩神情苦涩，嘴角微微下撇，眉头紧皱，眼神中带着不满和怨怼,是,是,,
细分情绪,38,bored,小女孩支着腮帮，茫然望向天花板，打哈欠，眼神呆滞无聊,是,是,,1
细分情绪,39,brave,小女孩眼神坚毅，嘴角抿出一丝勇敢的微笑，挺起胸膛，姿态表现出无畏和自信。,否,否,,
细分情绪,40,burnt_out,小女孩坐在地上，肩膀塌陷，头低垂，眼神疲惫无神，脸上写满倦意,是,是,,
细分情绪,41,busy,一个小女孩神情专注，动作迅速，脸上带着微微的严肃和紧张，一边走动一边忙碌地做着事情。,是,否,,
细分情绪,42,calm,小女孩安静地坐着，呼吸平稳，脸上带着温和的微笑，眼神柔和,是,是,,
细分情绪,43,care,小女孩温柔微笑，双手轻轻环抱自己，眼神柔和又专注，表现出关心和体贴的样子,是,是,看不出来,
细分情绪,44,challenged,小女孩皱着眉头，目光专注略带紧张，嘴唇轻咬，摆出要努力克服挑战的姿态,是,是,,
细分情绪,45,cheeky,小女孩调皮地吐吐舌头，斜着眼睛瞄一眼，咧嘴坏笑，单手托下巴，脸上充满狡黠与捉弄别人的神情,是,否,眼神躲闪，不符,
细分情绪,46,cheerful,一个小女孩开心地笑着在房间中跳舞，脸上洋溢着快乐和活力,是,否,,
细分情绪,47,closed_off,小女孩双臂抱胸，身体蜷缩，脸上表情冷漠或紧张，眼神回避，不与外界交流,是,是,,
细分情绪,48,complicit,一个小女孩眼神闪烁，嘴角微微上扬，表情里带着秘密和默契的神情，似乎正参与某个不可告人的计划，神情狡黠地对镜头偷笑,是,是,,
细分情绪,49,confident,一个小女孩昂首挺胸，双手叉腰，脸上露出坚定的笑容，目光直视前方,是,是,,1
细分情绪,50,confused,一个小女孩皱着眉头，头微微歪向一边，眼神迷惑，嘴唇微微开启，试图理解,是,是,,
细分情绪,51,connected,一个小女孩露出温暖的微笑，双眼充满善意与关爱，表情放松，仿佛正与心爱的人深度交流和连结,否,否,,
细分情绪,52,content,一个小女孩轻轻微笑，闭着眼睛，脸上浮现出满足的表情，双手搭在身前，自然地站着，身体很放松，带着幸福的静谧。,是,是,,
细分情绪,53,courageous,小女孩站得笔直，目光坚定，自信地挺胸抬头，脸上带着不怕困难的神情,否,否,,
细分情绪,54,creative,一个小女孩眼中闪烁着灵感的光芒，微微抿嘴思考，脸上充满好奇和创造力,是,是,,
细分情绪,55,critical,一个小女孩双臂抱胸，眉头微皱，带有挑剔和判断性的目光观察四周，嘴巴微微撇起,是,是,,
细分情绪,56,curious,小女孩歪着头，睁大眼睛，嘴角带着疑问的微笑，身体微微前倾，充满好奇心,是,是,,
细分情绪,57,daring,小女孩昂首挺胸，目光坚定，嘴角微微上扬，双手叉腰，一副勇敢无畏的神情,是,是,,
细分情绪,58,defensive,小女孩双手抱在胸前，身体微微后仰，眉头紧锁，表情戒备又倔强,是 ,是 ,,
细分情绪,59,delightful,小女孩笑容灿烂，双眼眯成月牙，脸颊微红，身体自然舒展、姿态轻快,是,是,,1
细分情绪,60,depressed,小女孩低头坐在地上，神情萎靡，目光呆滞，肩膀下垂，表情消极无助,是,是,,
细分情绪,61,despair,一个小女孩无力地坐着，肩膀松垮，眼神空洞无光，脸上带着明显的悲伤和绝望,是,是,,
细分情绪,62,detest,小女孩皱眉撅嘴，眼神里充满厌恶，嘴角嘟起，一脸明显的反感情绪。,是,是,,
细分情绪,63,detestable,小女孩皱着鼻子，嘴巴撅起，眉头紧蹙，眼神中带着厌恶，双手抱胸一副不屑的样子,是,是,,
细分情绪,64,disappeared,小女孩渐渐变得透明，表情迷茫，身影逐渐消散在房间一角，仿佛融入背景,是,是,手像人,
细分情绪,65,disappointed,一个小女孩神情失落，轻轻叹气，垂下肩膀，眼神暗淡地看着地面,是,是,,
细分情绪,66,disapproving,一个小女孩皱着眉头，双手抱胸，脸上一副不满和责备的神情,是,是,,1
细分情绪,67,discerning,一个小女孩微微皱眉，专注观察面前的事物，眼神锐利，仿佛在仔细分辨和判断,是,是,不像不在意，像若有所思,
细分情绪,68,discouraged,小女孩低垂头颅，肩膀下沉，神情沮丧，眼中流露出无助和失落，动作迟缓,是,是,眼泪是动画特效,1
细分情绪,69,disillusioned,小女孩表情失落，目光呆滞，嘴角微微下垂，双肩无力地耷拉着，眼里没有神采,是,是,,
细分情绪,70,dismayed,小女孩叹气低下头，眉头紧锁，表情满是失望与沮丧,是,是,,
细分情绪,71,dismissive,一个小女孩撇撇嘴，翻白眼或侧过头，表情中透露出不屑和轻蔑，手势随意，态度冷淡,是,是,,1
细分情绪,72,disrespected,小女孩双手抱胸，眼神不满地侧视，嘴唇紧抿，神情受伤且愠怒，表现出被冒犯的情绪,是,是,,
细分情绪,73,distant,一个小女孩坐在房间的一角，背对着房间里的其他事物，眼神游离，表情冷淡，给人一种心不在焉、疏离的感觉。,是,是,类人,
细分情绪,74,don’t_care,小女孩无精打采地靠在墙上，耸耸肩，表情淡漠，无所谓地翘起嘴角，对周围一切毫不在意，眼神轻轻瞥向一边,否,是,类人,
细分情绪,75,dysphoric,小女孩皱着眉头，眼角泛泪，嘴角往下，轻轻咬唇，情绪低落而焦虑,是,是,,1
细分情绪,76,eager,小女孩双眼闪亮，身体微微前倾，嘴角含笑显得期待，双手紧贴在身侧，似乎在等待什么好消息,是,是,,
细分情绪,77,embarrassed,一个小女孩低下头，脸颊泛红，轻轻咬唇，双手不安地绞在一起,是,是,,
细分情绪,78,embodied,小女孩静静站在屋子里，闭上眼睛，深呼吸，感受自己的身体，动作自信沉稳，面带平和的微笑，双手轻抚胸口，专注于当下的自我感受,是,是,多个落寞没什么区别，都是低头垂眼,1
细分情绪,79,empty,小女孩呆坐在地上，眼神空洞茫然，无表情地望向前方，仿佛迷失在自己的世界里,是,是,,
细分情绪,80,energetic,一个小女孩满脸兴奋地跳跃着，笑容灿烂，动作灵活充满活力,是,否,看不出来真诚,
细分情绪,81,enthusiastic,小女孩双眼闪亮，满脸笑容，身体微微前倾，双手张开，表现出极强的热情与期待,是,否,看不出来痴迷,
细分情绪,82,envious,一个小女孩表情有些失落，目光向远处，有些羡慕地咬着嘴唇，眼神略带嫉妒和渴望,是,是,,
细分情绪,83,excited,一个小女孩双眼闪闪发光，兴奋地跳跃起来，嘴角大大咧开，笑容灿烂，双手在空中挥舞，脸上满是激动和喜悦。,是,否,眼神四处飘不专注,
细分情绪,84,excluded,小女孩靠在角落，双臂抱膝，低头不语，神情落寞，眼角偶尔瞥向远处，仿佛被忽略在外,是,是,,
细分情绪,85,exhausted,一个小女孩坐在地板上，无力地靠在墙边，双眼无神，头发凌乱，表情十分疲惫，双臂耷拉，胸口微微起伏，看起来筋疲力尽,是,是,,
细分情绪,86,exposed,小女孩双手抱胸，身体微微缩起，表情害羞又紧张，眼神向下回避，显得不安和无助,是,是,多个落寞没什么区别，都是低头垂眼,
细分情绪,87,faithful,小女孩坚定地抬头，眼神真诚，嘴角带着温柔的微笑，透露出忠诚可靠的神情。,否,否,,
细分情绪,88,fascinating,小女孩聚精会神地盯着某处，眼中流露出强烈的好奇心和痴迷神情,否,否,类人,
细分情绪,89,fixated,小女孩神情专注，睁大眼睛目不转睛地盯着一个方向，身体前倾，全神贯注,否,是,手像人,
细分情绪,90,focused,小女孩双眼专注，神情投入，眉头微蹙，目不转睛地看向某处，专心致志,是,是,,
细分情绪,91,foolish,一个小女孩做出傻乎乎的表情，她眼睛睁得大大，嘴巴张开，像在做鬼脸，脸上带着憨笑，动作有些笨拙，偶尔还做出滑稽的手势。,是,是,,
细分情绪,92,forgotten,一个小女孩低头坐在房间角落，双手抱膝，眼神落寞，仿佛被忽略，神情孤单无助,是,是,动画效果夸张,
细分情绪,93,fragile,小女孩站得很小心，神情脆弱敏感，双臂轻轻环抱自己，仿佛害怕受伤,是,是,,
细分情绪,94,free,小女孩展开双臂，在房间里旋转跳跃，脸上带着畅快自在的笑容，眼神明亮,是,否,手像人,
细分情绪,95,frightened,一个小女孩睁大眼睛缩在角落，双手紧抱自己，神情恐惧，身体微微发抖,是,是,,
细分情绪,96,frustrated,小女孩垂下脑袋，眉头深锁，双手抓头发或捏紧拳头，神情沮丧、无助,是,是,,1
细分情绪,97,fulfilled,一个小女孩脸上绽放满足的微笑，双眼闪烁着幸福的光芒，神情愉悦，身体姿态放松而自在。,是,是,,
细分情绪,98,furious,一个小女孩脸涨得通红，双眉紧皱，大声喊叫，表情中写满了极度愤怒，双手握拳，情绪激动,否,否,,
细分情绪,99,genius,小女孩眼神明亮，眉头轻挑，面带自信微笑，流露出聪慧与灵气。,是,是,类人,
细分情绪,100,grateful,一个小女孩面带微笑，双手合十放在胸前，眼神温柔，神情真挚充满感激,是,是,,1
细分情绪,101,grief,一个小女孩低头抱膝坐在地上，泪水从脸颊滑落，双肩轻轻颤抖，表情悲伤无助，整个人沉浸在伤心之中。,是,是,,
细分情绪,102,grossed_out,小女孩皱起鼻子，撅嘴，眉毛拧成一团，露出嫌弃和恶心的表情，身体微微后仰,是,是,,1
细分情绪,103,grounded,小女孩安安静静坐着，姿势稳重，双脚平踩地面，表情平和自信，展现内心的踏实与安定,是,是,,
细分情绪,104,guilty,小女孩低头躲避视线，神情局促不安，手指缠绕着衣角，显得内疚,是,是,,1
细分情绪,105,hateful,一个小女孩双眼紧盯，表情充满敌意，嘴角紧抿，眼神冷漠，脸部线条紧绷,是,是,,
细分情绪,106,heartbroken,小女孩低着头，双手捂住眼睛，肩膀微微抽动，脸颊挂着泪水，满脸悲伤和绝望，整个人颤抖着蹲坐在地上,是,是,类人,1
细分情绪,107,heated,小女孩双颊微红，眉头紧皱，眼神锐利，似乎在生气地争辩，情绪高涨,是,是,,1
细分情绪,108,heavy,小女孩神情凝重，她的双肩微微下垂，脸庞上带着难以释怀的忧伤与压力，目光黯淡。,是,是,,
细分情绪,109,helpless,小女孩无助地摊开双手，眼神求助地看向远方，表情沮丧且迷茫,是,是,,
细分情绪,110,hesitant,一个小女孩踌躇不前，时而低头，时而抬头望向前方，脸上满是犹豫的表情,是,是,,
细分情绪,111,hopeful,小女孩抬头望向窗外，眼神明亮，嘴角带着微笑，双手轻轻握拳，神情充满期待,是,是,,
细分情绪,112,horrified,小女孩瞪大双眼，嘴巴微张，神情极度恐惧，身体僵住不动,是 ,是 ,,
细分情绪,113,hostile,小女孩冷冷地瞪视前方，双手叉腰，面带挑衅，气氛紧张,是,是,,
细分情绪,114,humiliated,小女孩低着头，不敢直视前方，脸颊泛红，咬着嘴唇显得十分尴尬,是,是,,
细分情绪,115,hurt,一个小女孩神情痛苦，眉头紧皱，眼眶微红，偷偷擦拭眼泪，透露出受伤和伤心,是 ,是 ,,1
细分情绪,116,important,小女孩昂首挺胸，嘴角微笑，眼神坚定自信，仿佛觉得自己非常重要,是,是,,
细分情绪,117,imposter_syndrome,小女孩低头咬嘴唇，眼神飘忽，神情里透出自我怀疑和不安,是,是,,
细分情绪,118,in_awe,小女孩睁大双眼，嘴巴微张，脸上流露出惊叹的神情，身体微微前倾，目光专注,是 ,是 ,,
细分情绪,119,in_flow,一个小女孩全神贯注地做着一件事，脸上一丝不苟，神情放松而专注，动作流畅自然，完全沉浸在自己的世界中,是 ,是 ,,
细分情绪,120,in_my_feelings,小女孩安静地坐着，目光低垂在地面，神情沉思，时不时轻叹，脸上浮现出复杂难言的情感。,是,是,形象有点夸张,
细分情绪,121,inadequate,小女孩低着头，身体微微缩起，手指纠结，眼神里透着自卑和失落,是,是,有点像心虚没看出求知欲,
细分情绪,122,indifferent,小女孩面无表情，双眼平视前方，动作松散，神情冷淡漠视,是,是,,
细分情绪,123,indignant,小女孩嘟起嘴巴，皱起眉头，双手抱胸看向一边，脸上写着不满和抗议,是 ,是 ,,1
细分情绪,124,inferior,一个小女孩低着头，双手交握在身前，神情自卑，眼神避开前方，嘴角微微下垂，身躯有些蜷缩。,是,是,,
细分情绪,125,infuriated,小女孩皱着眉头，双眼喷火，紧握拳头，脸部充满愤怒和不满,是,否,多个落寞没什么区别，都是低头垂眼,
细分情绪,126,inquisitive,一个小女孩睁大好奇的眼睛，专注地环顾四周，脸上充满求知欲和探索精神,否,否,看不大出来,
细分情绪,127,insecure,一个小女孩抱着自己，微微缩起身体，眼神充满不确定和犹豫,是,是,,
细分情绪,128,insignificant,一个小女孩垂着头，双手抱膝坐在地上，神情落寞，仿佛觉得自己微不足道,是,是,,
细分情绪,129,inspired,小女孩双眼发亮，脸上浮现灵感的微笑，动作灵动，神情充满激情与创造力,是,是,,
细分情绪,130,insulated,小女孩独自一人坐在房间角落，神情封闭，与世界隔绝，目光回避外界，显得自我保护,是,是,多个落寞没什么区别，都是低头垂眼,
细分情绪,131,intelligent,小女孩目光专注，眉头微蹙思考，脸上带着自信而聪慧的神采,是,是,,
细分情绪,132,interested,一个小女孩睁大眼睛，身体略微前倾，脸上带着好奇的表情，专注地盯着前方,否,是,,
细分情绪,133,intimate,小女孩轻声细语地自言自语，脸上带着温柔的微笑，神情柔和安静，眼神中充满温情,是,是,多个落寞没什么区别，都是低头垂眼,
细分情绪,134,irritated,小女孩皱眉撅嘴，眼神不耐烦，轻微跺脚，手臂交叉在胸前，表现出恼火,是,是,,
细分情绪,135,isolated,一个小女孩独自坐在房间角落，低头抱膝，神情孤单落寞，眼神没有焦点，显得格外孤立无援。,是,是,,
细分情绪,136,jealous,小女孩偷偷侧眼看向一侧，嘴唇抿起略带不满，脸色微微阴郁，内心充满嫉妒,是,是,多个落寞没什么区别，都是低头垂眼,
细分情绪,137,judgmental,一个小女孩抱着胳膊，微微皱眉，用不屑或批判的眼神望着前方，嘴角微微向下，表情严肃,是,是,,
细分情绪,138,left_out,小女孩站在一角，神情落寞，低头看地，脸上有淡淡的失落和孤独感,是,是,,
细分情绪,139,let_down,小女孩眼神失落，眉梢下垂，嘴巴轻轻撇起，整个人坐着缩成一团，显得沮丧,是,是,手好奇怪,
细分情绪,140,loathing,一个小女孩皱起眉头，紧绷脸颊，眼神中带着厌恶，微微后仰表示排斥,是,是,,
细分情绪,141,lonely,小女孩孤单地坐在房间一角，双膝抱在怀里，下巴靠在膝盖上，眼神落寞地望向远方,是,是,,
细分情绪,142,loss,小女孩低下头，双肩微微耸起，眼神失落，嘴角下垂，脸上泛起淡淡的悲伤,是,是,,
细分情绪,143,lost,小女孩呆呆地环顾四周，表情茫然困惑，眉头微蹙，手指不自觉地在衣角缠绕表现出迷失无助。,是,是,,
细分情绪,144,love,小女孩脸上带着温柔而甜美的微笑，双手比出心形贴在胸前，眼神柔和温情，身体微微前倾，满满的爱意溢于言表,是,否,眼泪是动画特效,
细分情绪,145,loving,小女孩面带温柔的微笑，眼中充满关切和爱意，双手轻轻环抱自己，神情柔和，流露出满满的爱心,是,否,,
细分情绪,146,loyal,小女孩面带坚定的微笑，神情专注，眼神充满信任与坚持，站姿挺直,否,是,类人,
细分情绪,147,mad,一个小女孩气鼓鼓地皱眉瞪着眼睛，双手紧握拳头，脸颊微微鼓起，明显流露出愤怒情绪,是,是,,
细分情绪,148,manic,一个小女孩双眼睁大，嘴角上扬，快速地在屋子里来回奔跑，神情夸张且情绪高涨,否,否,,
细分情绪,149,miserable,一个小女孩眼眶微红，嘴角向下，表情痛苦，眼中含泪，身体微微缩成一团，满是悲伤。,是,是,,
细分情绪,150,misunderstood,小女孩低着头，嘴角微微下垂，双眉紧蹙，眼神充满困惑和委屈，似乎想要解释却说不出口,是,是,,
细分情绪,151,motivate,小女孩眼神坚定，嘴角微微上扬，做出加油的手势，神情充满自信和动力,是,是,更像蔑视,
细分情绪,152,nauseated,小女孩皱起眉头，捂着嘴巴，脸色苍白，露出不适的表情，身体有轻微晃动，显得难受,是,是,,1
细分情绪,153,nauseous,一个小女孩脸色苍白，皱着眉头捂住肚子，嘴唇紧闭，表情难受，似乎很不舒服,是,是,,
细分情绪,154,nervous,小女孩咬着嘴唇，双手交握，眼神躲闪，坐立不安，脸上写满紧张和担忧,是,是,后期人脸动画夸张表情很符合,
细分情绪,155,no_words,小女孩沉默不语地坐在地板上，双手抱膝，眼神空洞地望着远方，嘴巴紧闭，脸上没什么表情，却散发着淡淡的无力感,是,是,,
细分情绪,156,not_good_enough,小女孩低头不语，眼神无神，嘴角下垂，肩膀耷拉，像是在怀疑自己，流露出自卑,是,是,,
细分情绪,157,not_heard,小女孩低着头，嘴巴张开想说什么但没说出口，眼神落寞，表情有些委屈,是,是,,
细分情绪,158,noticed,一个小女孩抬起头，脸上露出被他人关注后的惊喜和微笑，眼神充满期待,是,是,,1
细分情绪,159,numb,一个小女孩呆呆地坐着，目光空洞毫无焦点，表情漠然，没有任何情绪反应，身体一动不动，宛如失去知觉,是,是,,
细分情绪,160,nurturing,小女孩脸上带着温柔的微笑，弯腰作出关怀照顾的动作，神情专注且温暖,是,是,类人,
细分情绪,161,offended,小女孩撅起嘴巴，皱眉瞪眼，双臂抱胸，身体微微侧着，满脸不满和委屈,是,是,后期动画效果夸张,
细分情绪,162,open,一个小女孩面带微笑，身体姿势自然放松，双眼明亮，面向前方，神情坦率接受,是,是,动画效果夸张,
细分情绪,163,optimistic,一个小女孩脸上带着自信的微笑，眼神明亮，充满希望地向窗外望去,是,是,,
细分情绪,164,out_of_control,一个小女孩在房间里不停地跑动，身体频繁扭动，表情慌张，动作杂乱无章，情绪失控，她大声喊叫，完全无法安静下来。,是,是,类人,
细分情绪,165,outraged,一个小女孩皱着眉头，愤怒地瞪大双眼，嘴巴紧闭或咬牙，双手攥拳，身体紧绷，情绪激动地表现出愤怒,是,否,平静的也没啥区别,
细分情绪,166,overwhelmed,小女孩双手抱头，满脸慌乱，眼圈泛红，似乎快要哭出来的样子,否,是,平静的也没啥区别,
细分情绪,167,panicked,一个小女孩瞪大双眼，呼吸急促，慌张地四处张望，脸色紧张不安,是,是,,
细分情绪,168,passionate,一个小女孩兴奋地张开双臂，眼里闪烁着热情的光芒，满脸笑容，神情专注投入，动作充满活力,是,否,,
细分情绪,169,pensive,小女孩安静坐着，下巴抵在手背上，眼神凝视远方，表情沉思又柔和,是,是,,
细分情绪,170,perplexed,小女孩皱着眉头，歪着头，眼神迷茫困惑，嘴巴微张，似乎在思索问题,是,是,类人,
细分情绪,171,persecuted,小女孩缩着身体，眼神惶恐地四处张望，眉头紧皱，双臂环抱自己，仿佛在自我保护,是,是,,
细分情绪,172,pity,小女孩低下头，轻轻皱眉，眼中带着怜悯和同情，嘴角微微下垂，表情温柔而心疼，似乎在为别人感到难过,是,是,,
细分情绪,173,playful,小女孩露出淘气的笑容，眼睛弯成月牙，跳跃着旋转，摆出顽皮的姿势,是,否,平静的也没啥区别,
细分情绪,174,powerless,一个小女孩无助地坐着，双手无力地垂在膝盖两侧，眼中透露出绝望，表情沮丧，整个人显得非常无力,是,是,动画效果夸张,
细分情绪,175,present,一个小女孩安静地站在房间中央，她神情平和，眼神温柔，轻轻地呼吸着，整个人专注于当下的感受，情绪安宁充实。,是,是,,
细分情绪,176,pressured,小女孩咬唇皱眉，神情焦虑，手紧抓衣角或搓手，脸上露出紧张不安,否,是,类人,
细分情绪,177,protective,小女孩双臂环抱自己，身体微微前倾，表情认真，眼神警觉地环顾四周,是,是,,
细分情绪,178,proud,一个小女孩挺起胸膛，脸上带着自信的笑容，双手叉腰或站得笔直，神情洋溢着自豪感,是,否,动画效果夸张,
细分情绪,179,provoked,小女孩睁大眼睛，瞪视前方，嘴角紧绷，双手握拳，身体前倾，显得受到了挑衅和激怒,是,是,,
细分情绪,180,queer,一个小女孩神情古怪，表情复杂，眼神中流露出与众不同的自我意识和独特气质,否,否,眼泪是动画特效,
细分情绪,181,rage,小女孩双眼瞪大，眉毛高高皱起，嘴巴大张仿佛在大声喊叫，表情极度愤怒，身体用力前倾,是,是,,
细分情绪,182,rejected,一个小女孩低着头，眼里泛着泪光，表情沮丧地坐在角落,是,是,,
细分情绪,183,relaxed,一个小女孩微笑着，身体轻松地倚靠在椅子上，闭上眼睛，表情平静安逸,是,是,,
细分情绪,184,relief,一个小女孩长舒一口气，脸上露出轻松和释然的表情，嘴角微微上扬,是,是,,
细分情绪,185,relieved,小女孩松了口气，轻轻一笑，双肩下垂，脸上浮现安心的表情,是,是,,
细分情绪,186,remorseful,小女孩低下头，眉头紧锁，嘴角下垂，双手交握在身前，神情沮丧内疚,是,是,,1
细分情绪,187,repelled,小女孩身体后仰，一只手前伸做出阻挡动作，眉头紧蹙，脸上带着抗拒的神情,是,是,看不出来荣誉感,
细分情绪,188,resentful,小女孩皱着眉头，嘴巴嘟起，眼神里闪现不满和委屈，身体略微偏向一侧，好像在抱怨,是,是,,
细分情绪,189,respected,小女孩站姿挺拔，目光坚定自信，脸上带着自豪的微笑，眼神中透露出被认可的荣誉感,否,是,,
细分情绪,190,responsive,小女孩眼神明亮，面带微笑，对周围作出细致反应，身体语言开放，积极互动,是,是,,
细分情绪,191,revolted,小女孩露出极度反感的表情，身体侧过，眼神回避，嘴角微微扭曲，表现出厌恶和反胃,是,是,,
细分情绪,192,ridiculed,一个小女孩低头微缩着身体，脸上带着尴尬和被嘲笑的神情，嘴角泛起一丝苦涩,是,是,眼泪是动画特效,
细分情绪,193,rushed,一个小女孩在房间里快步走动，神情急切焦虑，不断张望四周，动作匆忙，呼吸急促，好像时间很紧迫的样子。,是,是,,
细分情绪,194,safe,小女孩露出轻松满足的微笑，闭着眼睛，舒适地环抱自己，神情安然,是,是,类人,1
细分情绪,195,salty,小女孩翻白眼，抱手胸前，嘴巴撇成一条线，神情不满又有些恼怒,是,是,,
细分情绪,196,sarcastic,小女孩翻着白眼，嘴角带着嘲讽的微笑，摆出夸张的不屑神情,是,是,平静的也没啥区别,
细分情绪,197,satisfied,小女孩轻轻闭眼，嘴角上扬，脸上带着满足和知足的微笑，神态安然自若。,是,是,,
细分情绪,198,scared,一个小女孩紧张地缩着身子，两只手紧紧抱住自己，眼神警惕，脸上充满害怕的表情，身体微微颤抖，似乎在躲避什么恐惧的东西,是,否,,
细分情绪,199,sceptical,一个小女孩皱起眉头，歪着脑袋，眼神里充满怀疑和不信任，嘴角轻轻撇起，似乎对身边的事情感到疑惑,是,是,平静的也没啥区别,
细分情绪,200,secure,小女孩露出安心满足的微笑，身体自然放松，安然自若地靠在椅子上或者静静地坐着，眼神温柔安定。,是,是,红脸蛋太夸张,
细分情绪,201,self-conscious,小女孩羞涩地低下头，脸泛红晕，轻轻拉扯自己的衣服，偶尔偷偷观察四周，显得有些局促不安,否,否,,
细分情绪,202,selfish,一个小女孩抓紧自己喜欢的玩具，背对着其他人，神情冷漠，表达出自私的情感,是,是,,
细分情绪,203,sensitive,小女孩眼神柔弱，眉头微蹙，轻轻咬唇，手指局促地搓衣角，显得感受细腻敏感,是,是,,
